drug_id;canonical_name;available;source
103;5-aminolevulinic acid;N;
104;acalabrutinib;N;
105;acetylcysteine;Y;
106;acoramidis;N;
107;acyclovir;N;
108;adagrasib;N;
109;afatinib;N;
110;aficamten;N;
111;albendazole;Y;EML
112;alectinib;N;
113;alitretinoin;N;
114;allopurinol;Y;EML
78;alpelisib;N;
115;altretamine;N;
116;amantadine;N;
117;ambrisentan;N;
118;amifampridine;N;
119;amifostine;N;
120;amiodarone hcl;Y;
121;amphotericin b lipid complex;Y;
122;anagrelide;N;
123;apomorphine hcl;N;
124;apremilast;N;
82;arimoclomol;N;
125;aripiprazole;Y;EML
126;arsenic trioxide;N;
127;artemether/lumefantrine;Y;
60;artesunate;Y;EML
37;asciminib;N;
128;ascorbic acid;N;
129;atovaquone;N;
66;avacopan;N;
30;avapritinib;N;
130;avatrombopag;N;
131;"avutometinib; defactinib";N;
132;azacitidine;N;
133;aztreonam;N;
134;baclofen;N;
135;balsalazide disodium;N;
83;bardoxolone methyl;N;
98;beclomethasone dipropionate;Y;
136;bedaquiline;N;
137;belinostat;N;
20;belumosudil mesilate;N;
138;belzutifan;N;
139;bendamustine for 50 ml admixture;N;
140;benznidazole;N;
91;benzoate;Y;
141;benzoate and phenylacetate;N;
142;berotralstat;N;
143;betaine;N;
144;bexarotene;N;
145;bicarbonate infusate;Y;
146;birch triterpenes;N;
147;bortezomib;Y;EML
102;bosentan;N;
148;bosutinib;N;
149;brigatinib;N;
150;brilliant blue g ophthalmic solution;N;
151;brincidofovir;N;
65;budesonide + micronised;Y;EML
152;buprenorphine in combination with naloxone;N;
153;busulfan;Y;EML
10;cabozantinib;N;
92;caffeine;Y;
154;calcium;Y;EML
155;calcium + magnesium + potassium + and oxybates;N;
9;cannabidiol;N;
156;capmatinib;N;
157;capsaicin;N;
158;carfilzomib;N;
159;carglumic acid;N;
160;cedazuridine and decitabine;N;
161;ceritinib;N;
52;chenodeoxycholic acid;N;
70;chlormethine;N;
162;cholic acid;N;
163;cinacalcet;N;
164;cladribine;N;
165;clobazam;N;
166;clofarabine;N;
167;clofazimine;N;
168;clonidine;Y;EML
169;clotrimazole;Y;EML
170;cobicistat;N;
171;cobimetinib;N;
172;colchicine;Y;EML
173;colfosceril palmitate + cetyl alcohol + tyloxapol;N;
81;copanlisib dihydrochloride;N;
174;copper histidinate;Y;
175;crinecerfont;N;
176;crizotinib;N;
177;cromolyn ophthalmic solution;N;
178;cysteamine enteric coated;N;
179;cytarabine liposomal;Y;
180;d6-tetrabenazine + deutetrabenazine;N;
23;dabrafenib mesilate;N;
181;dacomitinib;N;
182;dalfampridine;N;
29;danicopan;N;
183;dantrolene suspension for injection;N;
184;dasatinib;Y;EML
77;"daunorubicin ;cytarabine";Y;EML
185;daunorubicin liposome injection;Y;
186;decitabine;N;
187;deferasirox;Y;EML
89;deferiprone;N;
188;deflazacort;N;
189;dehydrated alcohol;N;
3;delamanid;N;
190;delandistrogene moxeparvovec-rokl;N;
191;dexamethasone intravitreal implant;Y;EML
192;dexrazoxane;N;
193;diazepam;Y;EML
194;diazoxide choline;Y;
195;dichlorphenamide;N;
196;diethylenetriaminepentaacetic acid;N;
197;difluprednate;N;
198;dordaviprone;N;
21;"doxecitine;doxribtimine";N;
199;doxorubicin hcl liposome injection;Y;
200;dronabinol;N;
201;droxidopa;N;
202;duvelisib;N;
90;duvelisib;N;
86;"eflornithine ;sulindac";N;
203;eflornithine hcl;N;
54;elafibranor;N;
204;elamipretide;N;
205;elapegademase-lvlr;N;
61;eliglustat;N;
206;eltrombopag;N;
207;emtricitabine and tenofovir alafenamide;Y;EML
208;enasidenib;N;
209;encorafenib;N;
210;encorafenib + binimetinib;N;
211;entrectinib;N;
212;epirubicin;Y;EML
213;epoetin alfa;N;
214;epoprostenol;N;
99;eprodisate disodium;N;
215;eribulin;N;
94;etarfolatide;N;
216;ethanolamine oleate;N;
217;ethiodized oil injection;N;
218;etidronate disodium;N;
219;everolimus;N;
220;exemestane;Y;EML
28;fedratinib dihydrochloride monohydrate;N;
221;felbamate;N;
222;fenfluramine hci;N;
223;ferumoxytol;N;
224;fexinidazole;N;
225;fludarabine oral tablets;Y;EML
100;fluocinolone acetonide;N;
226;fomepizole;N;
227;foscarbidopa and foslevodopa;N;
76;fosdenopterin hydrobromide dihydrate;N;
228;fosphenytoin;N;
229;fostamatinib disodium hexahydrate;N;
230;futibatinib;N;
231;gabapentin;Y;EML
232;gabapentin enacarbil;N;
233;gallium-68 octreotide;N;
8;ganaxolone;N;
234;ganciclovir intravitreal implant;Y;EML
235;gefitinib;N;
26;gilteritinib;N;
56;givinostat monohydrate;N;
63;glasdegib;N;
79;glibenclamide;Y;EML
33;glucarpidase;N;
236;glutamine;N;
39;glycerol phenylbutyrate;N;
237;glycopyrrolate;Y;EML
67;govorestat;N;
97;gusperimus trihydrochloride;N;
238;halofantrine;N;
239;hemin;N;
240;hydrocortisone;Y;EML
241;hydroxycarbamide;Y;EML
242;hydroxyprogesterone caproate;N;
243;ibrutinib;N;
244;ibuprofen lysine;N;
245;idarubicin hcl for injection;Y;
87;"idebenone;titanium dioxide";N;
246;idelalisib;N;
247;ifosfamide;N;
248;iloprost inhalation solution;N;
249;imatinib;Y;EML
84;infigratinib monophosphate;N;
250;interferon alfa-2b;N;
251;intravenous carbamazepine;Y;
252;iobenguane i;N;
34;iptacopan monohydrate;N;
72;irinotecan anhydrous free-base;Y;
253;iron-hexacyanoferrate;N;
55;isavuconazole;N;
254;isavuconazonium;N;
255;ivabradine;N;
256;ivacaftor;N;
1;"ivacaftor;tezacaftor;elexacaftor";N;
14;ivosidenib;N;
50;ixazomib;N;
257;l-glutamine;N;
258;lamotrigine;Y;EML
259;larotrectinib;N;
260;ledipasvir/sofosbuvir;N;
261;lenalidomide;Y;EML
262;leniolisib;N;
263;lenvatinib;N;
74;leriglitazone;N;
35;letermovir;N;
264;leucovorin;N;
265;levacetylleucine;N;
266;levocarnitine;N;
267;levodopa and carbidopa;Y;
268;levoketoconazole;N;
269;levoleucovorin;N;
270;levomethadyl;N;
271;lidocaine patch;Y;
272;linerixibat;N;
273;liothyronine injection;N;
274;liposomal amikacin;Y;EML
275;lodoxamide tromethamine;N;
276;lomitapide;N;
69;lonafarnib;N;
277;lorlatinib;N;
278;lumacaftor and ivacaftor;N;
280;lurbinectedin;N;
41;lutetium oxodotreotide;N;
281;macimorelin;N;
282;macitentan;N;
283;macitentan and tadalafil;N;
284;mafenide solution;N;
