drug_id;canonical_name;available;source
103;5-aminolevulinic acid;N;
104;acalabrutinib;Y;SDL
105;acetylcysteine;Y;SDL
106;acoramidis;N;
107;acyclovir;Y;SDL
108;adagrasib;N;
109;afatinib;Y;SDL
110;aficamten;N;
111;albendazole;Y;SDL
112;alectinib;Y;SDL
113;alitretinoin;N;
114;allopurinol;Y;SDL
78;alpelisib;N;
115;altretamine;N;
116;amantadine;N;
117;ambrisentan;Y;SDL
118;amifampridine;N;
119;amifostine;N;
120;amiodarone hcl;Y;
121;amphotericin b lipid complex;Y;
122;anagrelide;Y;SDL
123;apomorphine hcl;N;
124;apremilast;N;
82;arimoclomol;N;
125;aripiprazole;N;
126;arsenic trioxide;N;
127;artemether/lumefantrine;N;
60;artesunate;N;
37;asciminib;Y;SDL
128;ascorbic acid;Y;SDL
129;atovaquone;N;
66;avacopan;N;
30;avapritinib;N;
130;avatrombopag;N;
131;"avutometinib; defactinib";N;
132;azacitidine;Y;SDL
133;aztreonam;N;
134;baclofen;N;
135;balsalazide disodium;N;
83;bardoxolone methyl;N;
98;beclomethasone dipropionate;Y;SDL
136;bedaquiline;N;
137;belinostat;N;
20;belumosudil mesilate;N;
138;belzutifan;N;
139;bendamustine for 50 ml admixture;Y;SDL
140;benznidazole;N;
91;benzoate;Y;
141;benzoate and phenylacetate;N;
142;berotralstat;N;
143;betaine;Y;SDL
144;bexarotene;N;
145;bicarbonate infusate;Y;
146;birch triterpenes;N;
147;bortezomib;Y;SDL
102;bosentan;N;
148;bosutinib;N;
149;brigatinib;Y;SDL
150;brilliant blue g ophthalmic solution;N;
151;brincidofovir;N;
65;budesonide + micronised;Y;SDL
152;buprenorphine in combination with naloxone;N;
153;busulfan;Y;SDL
10;cabozantinib;Y;SDL
92;caffeine;N;
154;calcium;Y;SDL
155;calcium + magnesium + potassium + and oxybates;N;
9;cannabidiol;N;
156;capmatinib;N;
157;capsaicin;N;
158;carfilzomib;Y;SDL
159;carglumic acid;N;
160;cedazuridine and decitabine;N;
161;ceritinib;Y;SDL
52;chenodeoxycholic acid;N;
70;chlormethine;N;
162;cholic acid;Y;
163;cinacalcet;N;
164;cladribine;N;
165;clobazam;N;
166;clofarabine;N;
167;clofazimine;N;
168;clonidine;N;
169;clotrimazole;Y;SDL
170;cobicistat;N;
171;cobimetinib;N;
172;colchicine;Y;SDL
173;colfosceril palmitate + cetyl alcohol + tyloxapol;N;
81;copanlisib dihydrochloride;N;
174;copper histidinate;N;
175;crinecerfont;N;
176;crizotinib;N;
177;cromolyn ophthalmic solution;N;
178;cysteamine enteric coated;N;
179;cytarabine liposomal;Y;
180;d6-tetrabenazine + deutetrabenazine;N;
23;dabrafenib mesilate;Y;SDL
181;dacomitinib;Y;SDL
182;dalfampridine;N;
29;danicopan;N;
183;dantrolene suspension for injection;Y;
184;dasatinib;Y;SDL
77;"daunorubicin ;cytarabine";Y;SDL
185;daunorubicin liposome injection;Y;
186;decitabine;N;
187;deferasirox;Y;SDL
89;deferiprone;Y;SDL
188;deflazacort;N;
189;dehydrated alcohol;N;
3;delamanid;N;
190;delandistrogene moxeparvovec-rokl;N;
191;dexamethasone intravitreal implant;Y;SDL
192;dexrazoxane;N;
193;diazepam;Y;SDL
194;diazoxide choline;N;
195;dichlorphenamide;N;
196;diethylenetriaminepentaacetic acid;N;
197;difluprednate;N;
198;dordaviprone;N;
21;"doxecitine;doxribtimine";N;
199;doxorubicin hcl liposome injection;Y;
200;dronabinol;N;
201;droxidopa;N;
202;duvelisib;N;
90;edaravone;N;
86;"eflornithine ;sulindac";N;
203;eflornithine hcl;N;
54;elafibranor;N;
204;elamipretide;N;
205;elapegademase-lvlr;N;
61;eliglustat;N;
206;eltrombopag;Y;SDL
207;emtricitabine and tenofovir alafenamide;Y;
208;enasidenib;N;
209;encorafenib;N;
210;encorafenib + binimetinib;N;
211;entrectinib;N;
212;epirubicin;Y;SDL
213;epoetin alfa;Y;
214;epoprostenol;Y;
99;eprodisate disodium;N;
215;eribulin;Y;
94;etarfolatide;N;
216;ethanolamine oleate;N;
217;ethiodized oil injection;N;
218;etidronate disodium;N;
219;everolimus;Y;SDL
220;exemestane;Y;SDL
28;fedratinib dihydrochloride monohydrate;Y;SDL
221;felbamate;N;
222;fenfluramine hci;N;
223;ferumoxytol;N;
224;fexinidazole;N;
225;fludarabine oral tablets;Y;
100;fluocinolone acetonide;Y;SDL
226;fomepizole;N;
227;foscarbidopa and foslevodopa;N;
76;fosdenopterin hydrobromide dihydrate;N;
228;fosphenytoin;N;
229;fostamatinib disodium hexahydrate;N;
230;futibatinib;N;
231;gabapentin;Y;SDL
232;gabapentin enacarbil;N;
233;gallium-68 octreotide;N;
8;ganaxolone;N;
234;ganciclovir intravitreal implant;Y;SDL
